time,low,high,open,close,volume
1520071200,11290.31,11329.99,11290.84,11300.0,131.85721273000024
1520074800,11257.0,11325.0,11300.01,11275.0,137.93715219000003
1520078400,11275.0,11393.6,11275.0,11386.95,294.4560899400001
1520082000,11380.75,11475.0,11380.76,11429.5,764.0337935899919
1520085600,11366.8,11460.0,11429.51,11389.0,510.2979468499993
1520089200,11389.0,11475.0,11389.0,11453.53,479.2386288599976
1520092800,11440.0,11469.35,11453.52,11446.99,349.95103986999953
1520096400,11411.59,11494.57,11446.99,11488.89,746.3839140099969
1520100000,11446.01,11488.89,11488.89,11465.0,267.2535192100002
1520103600,11451.0,11470.0,11464.99,11460.0,274.0586399399998
1520107200,11214.09,11460.0,11460.0,11273.18,1650.4645218799837
1520110800,11259.7,11328.92,11273.18,11298.98,656.4231098799972
1520114400,11288.08,11375.0,11298.97,11374.99,375.38168005999955
1520118000,11365.67,11472.99,11375.0,11432.5,626.6486710199993
1520121600,11340.0,11437.24,11432.51,11353.78,414.96854258999855
1520125200,11353.77,11400.0,11353.78,11369.98,250.55604765999973
1520128800,11275.26,11369.99,11369.98,11313.87,539.3122603799995
1520132400,11110.0,11313.87,11313.86,11163.0,1078.2009554099884
1520136000,11101.0,11222.96,11163.0,11190.0,475.08251375999856
1520139600,11132.88,11225.0,11190.0,11199.99,264.6124141600003
1520143200,11110.01,11200.0,11200.0,11126.01,245.85261192
1520146800,11041.0,11150.04,11126.0,11145.36,347.41283660999807
1520150400,11133.32,11215.0,11145.37,11214.99,197.25258189
1520154000,11174.44,11250.0,11215.0,11222.88,142.8291748099999
1520157600,11121.82,11222.88,11222.87,11138.81,100.50412083999994
1520161200,11088.21,11166.0,11138.8,11134.13,110.50926562000019
1520164800,11125.45,11210.0,11134.13,11210.0,177.19340966000027
1520168400,11156.0,11222.0,11210.0,11180.0,167.59577644000004
1520172000,11120.0,11180.0,11179.99,11124.99,149.39429419999993
1520175600,11090.0,11125.0,11125.0,11122.5,245.46927690999996
1520179200,11118.0,11165.0,11122.49,11138.28,253.50016397999988
